condition,n_seeds,en_test_bpb_mean,en_test_bpb_sample_std,zh_test_bpb_mean,zh_test_bpb_sample_std,mean_test_bpb_mean,mean_test_bpb_sample_std,en_forgetting_bpb_mean,en_forgetting_bpb_sample_std,zh_forgetting_bpb_mean,zh_forgetting_bpb_sample_std,median_tokens_per_second_mean,median_tokens_per_second_sample_std,peak_memory_gib_mean,peak_memory_gib_sample_std
en_only,2,1.3123776633212696,0.0003323447105891626,3.185849263977628,0.021082240438458723,2.249113463649449,0.010374947863934858,0.0,0.0,0.005638993934640846,0.007974741700508707,68833.14297353479,71.56951479230753,17.115631103515625,0.0
zh_only,2,2.142818734864533,0.012107609542590025,1.6411574479859385,0.007655499455124682,1.8919880914252358,0.009881554498857354,0.0,0.0,0.0,0.0,69307.90072496622,476.81302522244437,17.115631103515625,0.0
iid_50,2,1.4130424171360705,0.008117044711327046,1.7794411263857324,0.009988431556941584,1.5962417717609014,0.009052738134134316,0.0,0.0,0.0,0.0,68811.47232295736,81.74222377655856,17.115631103515625,0.0
en_first,2,1.7181565831318875,0.0020088298080860366,1.8225372498635077,0.00015277738503511294,1.7703469164976977,0.000928026211525462,0.3080417032840098,0.0037526746723536312,0.0,0.0,69329.9694483924,487.48831105712503,17.115631103515625,0.0
zh_first,2,1.4239328925699368,0.0014564892206844413,2.616112606498391,0.01740712509082558,2.0200227495341636,0.007975317935070569,0.0,0.0,0.8267729096879232,0.018061984005024807,68999.8659157,102.73799345115292,17.115631103515625,0.0
alternating,2,1.4784266611824868,0.0014758723901262183,1.859662689860755,0.005904195719256639,1.6690446755216208,0.0036900340546913496,0.012900578244983585,0.001098843916347529,0.0,0.0,68999.89956974617,123.28565227279233,17.115631103515625,0.0
