parameters_m,tokens_b,task,task_label,n,base_acc,hq_acc,gap_acc_pp,base_acc_norm,hq_acc_norm,gap_acc_norm_pp
56,19.999,arc_challenge,ARC-C,1172,0.200512,0.226962,2.645,0.244027,0.257679,1.3651999999999997
56,19.999,arc_easy,ARC-E,2376,0.5185185185185185,0.5332491582491582,1.4730639730639705,0.4524410774410774,0.48063973063973064,2.8198653198653223
56,19.999,csqa,CSQA,1221,0.26535626535626533,0.26945126945126946,0.4095004095004129,0.2915642915642916,0.30057330057330056,0.9009009009008973
56,19.999,hellaswag,HellaSwag,10042,0.28689504082852024,0.2861979685321649,-0.069707229635535,0.30651264688309104,0.3152758414658435,0.8763194582752432
56,19.999,mmlu,MMLU,14042,0.22952570858852014,0.2321606608745193,0.2634952285999165,0.22952570858852014,0.2321606608745193,0.2634952285999165
56,19.999,openbookqa,OpenBookQA,500,0.158,0.174,1.5999999999999988,0.306,0.308,0.20000000000000018
56,19.999,piqa,PIQA,1838,0.6245919477693145,0.6294885745375408,0.4896626768226331,0.6251360174102285,0.6284004352557128,0.32644178454842576
56,19.999,sciq,SciQ,1000,0.75,0.766,1.6000000000000014,0.67,0.694,2.399999999999991
56,19.999,siqa,SIQA,1954,0.353121801432958,0.3725690890481064,1.9447287615148412,0.4094165813715456,0.41146366427840325,0.2047082906857678
56,19.999,winogrande,WinoGrande,1267,0.5130228887134964,0.5153906866614049,0.23677979479084232,0.5090765588003157,0.4925019731649566,-1.6574585635359074
143,19.999,arc_challenge,ARC-C,1172,0.237201,0.272184,3.4982999999999986,0.274744,0.296928,2.2184000000000035
143,19.999,arc_easy,ARC-E,2376,0.5787037037037037,0.6132154882154882,3.4511784511784493,0.5075757575757576,0.5664983164983165,5.892255892255893
143,19.999,csqa,CSQA,1221,0.3144963144963145,0.3104013104013104,-0.40950040950040734,0.31613431613431614,0.32596232596232594,0.9828009828009798
143,19.999,hellaswag,HellaSwag,10042,0.3180641306512647,0.31228838876717785,-0.577574188408686,0.3628759211312488,0.3584943238398725,-0.43815972913762713
143,19.999,mmlu,MMLU,14042,0.25046289702321606,0.2366472012533827,-1.3815695769833352,0.25046289702321606,0.2366472012533827,-1.3815695769833352
143,19.999,openbookqa,OpenBookQA,500,0.198,0.178,-2.0000000000000018,0.312,0.314,0.20000000000000018
143,19.999,piqa,PIQA,1838,0.6621327529923831,0.661588683351469,-0.05440696409140244,0.6561479869423286,0.6463547334058759,-0.9793253536452662
143,19.999,sciq,SciQ,1000,0.8,0.808,0.8000000000000007,0.732,0.731,-0.10000000000000009
143,19.999,siqa,SIQA,1954,0.3669396110542477,0.37768679631525076,1.0747185261003045,0.4201637666325486,0.4227226202661208,0.2558853633572167
143,19.999,winogrande,WinoGrande,1267,0.5082872928176796,0.5035516969218626,-0.47355958958169575,0.4956590370955012,0.5043409629044988,0.8681925808997626
263,19.999,arc_challenge,ARC-C,1172,0.268771,0.286689,1.7918000000000045,0.290102,0.311433,2.133099999999999
263,19.999,arc_easy,ARC-E,2376,0.6043771043771043,0.6401515151515151,3.577441077441079,0.5664983164983165,0.6064814814814815,3.998316498316501
263,19.999,csqa,CSQA,1221,0.32186732186732187,0.3521703521703522,3.030303030303033,0.3325143325143325,0.35053235053235055,1.8018018018018056
263,19.999,hellaswag,HellaSwag,10042,0.33867755427205737,0.3325034853614818,-0.6174068910575592,0.40579565823541125,0.39533957379008167,-1.0456084445329583
263,19.999,mmlu,MMLU,14042,0.23707449081327447,0.23999430280586811,0.29198119925936405,0.23707449081327447,0.23999430280586811,0.29198119925936405
263,19.999,openbookqa,OpenBookQA,500,0.22,0.21,-1.0000000000000009,0.32,0.338,1.8000000000000016
263,19.999,piqa,PIQA,1838,0.6958650707290533,0.6893362350380848,-0.6528835690968515,0.6838955386289445,0.6692056583242655,-1.4689880304678993
263,19.999,sciq,SciQ,1000,0.813,0.829,1.6000000000000014,0.734,0.759,2.500000000000002
263,19.999,siqa,SIQA,1954,0.37615148413510746,0.38996929375639716,1.38178096212897,0.4155578300921187,0.41914022517911975,0.35823950870010335
263,19.999,winogrande,WinoGrande,1267,0.5201262825572218,0.5114443567482242,-0.8681925808997626,0.5217048145224941,0.5082872928176796,-1.3417521704814472
469,19.999,arc_challenge,ARC-C,1172,0.285836,0.322526,3.669,0.303754,0.335324,3.1569999999999987
469,19.999,arc_easy,ARC-E,2376,0.6224747474747475,0.6868686868686869,6.439393939393934,0.5728114478114478,0.640993265993266,6.818181818181824
469,19.999,csqa,CSQA,1221,0.3538083538083538,0.361998361998362,0.8190008190008202,0.3488943488943489,0.36609336609336607,1.7199017199017175
469,19.999,hellaswag,HellaSwag,10042,0.36148177653853814,0.3504282015534754,-1.1053574985062709,0.4451304521011751,0.4318860784704242,-1.3244373630750872
469,19.999,mmlu,MMLU,14042,0.24312775957840763,0.2488961686369463,0.5768409058538676,0.24312775957840763,0.2488961686369463,0.5768409058538676
469,19.999,openbookqa,OpenBookQA,500,0.216,0.21,-0.6000000000000005,0.342,0.348,0.599999999999995
469,19.999,piqa,PIQA,1838,0.7007616974972797,0.6953210010881393,-0.5440696409140355,0.7083786724700761,0.6822633297062024,-2.611534276387373
469,19.999,sciq,SciQ,1000,0.846,0.854,0.8000000000000007,0.753,0.789,3.600000000000003
469,19.999,siqa,SIQA,1954,0.3915046059365404,0.394575230296827,0.30706243602866,0.43193449334698053,0.4232343909928352,-0.8700102354145312
469,19.999,winogrande,WinoGrande,1267,0.5303867403314917,0.5295974743488555,-0.07892659826361781,0.510655090765588,0.5169692186266772,0.6314127861089203
803,19.999,arc_challenge,ARC-C,1172,0.291809,0.340444,4.863500000000004,0.3157,0.346416,3.071600000000002
803,19.999,arc_easy,ARC-E,2376,0.6654040404040404,0.6952861952861953,2.9882154882154843,0.6182659932659933,0.6515151515151515,3.3249158249158195
803,19.999,csqa,CSQA,1221,0.37674037674037675,0.4103194103194103,3.357903357903358,0.36855036855036855,0.3857493857493858,1.719901719901723
803,19.999,hellaswag,HellaSwag,10042,0.38129854610635333,0.37562238597888864,-0.5676160127464691,0.47918741286596295,0.465345548695479,-1.3841864170483942
803,19.999,mmlu,MMLU,14042,0.2461187864976499,0.24063523714570573,-0.5483549351944172,0.2461187864976499,0.24063523714570573,-0.5483549351944172
803,19.999,openbookqa,OpenBookQA,500,0.226,0.206,-2.0000000000000018,0.352,0.338,-1.3999999999999957
803,19.999,piqa,PIQA,1838,0.7121871599564744,0.70620239390642,-0.598476605005438,0.7121871599564744,0.7007616974972797,-1.1425462459194735
803,19.999,sciq,SciQ,1000,0.859,0.861,0.20000000000000018,0.77,0.815,4.499999999999993
803,19.999,siqa,SIQA,1954,0.3812691914022518,0.3925281473899693,1.1258955987717478,0.436028659160696,0.43193449334698053,-0.4094165813715467
803,19.999,winogrande,WinoGrande,1267,0.5201262825572218,0.516179952644041,-0.39463299131807794,0.49329123914759276,0.5169692186266772,2.3677979479084454
