parameters_m,tokens_b,task,task_label,n,base_acc,hq_acc,gap_acc_pp,base_acc_norm,hq_acc_norm,gap_acc_norm_pp
56,3.146,mmlu,MMLU,14042,0.23201823102122204,0.22931206380857427,-0.270616721264777,0.23201823102122204,0.22931206380857427,-0.270616721264777
56,3.146,openbookqa,OpenBookQA,500,0.148,0.16,1.200000000000001,0.292,0.286,-0.6000000000000005
56,3.146,piqa,PIQA,1838,0.5968443960826986,0.5908596300326442,-0.598476605005438,0.5963003264417845,0.5875952121871599,-0.8705114254624613
56,3.146,sciq,SciQ,1000,0.702,0.733,3.1000000000000028,0.637,0.636,-0.10000000000000009
56,3.146,siqa,SIQA,1954,0.3577277379733879,0.37154554759467756,1.3817809621289645,0.413510747185261,0.40583418628454454,-0.7676560900716445
56,3.146,winogrande,WinoGrande,1267,0.5114443567482242,0.5177584846093133,0.6314127861089092,0.4925019731649566,0.505130228887135,1.2628255722178405
56,4.194,arc_challenge,ARC-C,1172,0.190273,0.213311,2.3038000000000003,0.232935,0.244881,1.1945999999999986
56,4.194,arc_easy,ARC-E,2376,0.4621212121212121,0.5117845117845118,4.966329966329969,0.4090909090909091,0.44065656565656564,3.156565656565652
56,4.194,csqa,CSQA,1221,0.25552825552825553,0.24733824733824733,-0.8190008190008202,0.28501228501228504,0.2833742833742834,-0.16380016380016515
56,4.194,hellaswag,HellaSwag,10042,0.2771360286795459,0.27833100975901215,0.11949810794662508,0.29087831109340767,0.2961561441943836,0.5277833100975904
56,4.194,mmlu,MMLU,14042,0.23144851160803304,0.22810141005554765,-0.3347101552485382,0.23144851160803304,0.22810141005554765,-0.3347101552485382
56,4.194,openbookqa,OpenBookQA,500,0.16,0.17,1.0000000000000009,0.286,0.31,2.400000000000002
56,4.194,piqa,PIQA,1838,0.6115342763873776,0.6066376496191512,-0.4896626768226331,0.6033732317736671,0.5914036996735582,-1.196953210010887
56,4.194,sciq,SciQ,1000,0.718,0.73,1.200000000000001,0.619,0.644,2.500000000000002
56,4.194,siqa,SIQA,1954,0.37154554759467756,0.37308085977482086,0.15353121801433,0.4124872057318321,0.40583418628454454,-0.6653019447287578
56,4.194,winogrande,WinoGrande,1267,0.510655090765588,0.505130228887135,-0.5524861878453025,0.5082872928176796,0.4956590370955012,-1.2628255722178405
56,5.243,arc_challenge,ARC-C,1172,0.192833,0.214164,2.133099999999999,0.239761,0.25,1.0238999999999998
56,5.243,arc_easy,ARC-E,2376,0.476010101010101,0.5214646464646465,4.545454545454552,0.42592592592592593,0.4654882154882155,3.9562289562289576
56,5.243,csqa,CSQA,1221,0.2596232596232596,0.26044226044226043,0.08190008190008258,0.2833742833742834,0.2915642915642916,0.8190008190008202
56,5.243,hellaswag,HellaSwag,10042,0.27962557259510057,0.2787293367855009,-0.08962358095996881,0.2927703644692292,0.297450707030472,0.46803425612427785
56,5.243,mmlu,MMLU,14042,0.23372738926078906,0.23009542800170915,-0.36319612590799133,0.23372738926078906,0.23009542800170915,-0.36319612590799133
56,5.243,openbookqa,OpenBookQA,500,0.142,0.18,3.8000000000000007,0.296,0.32,2.400000000000002
56,5.243,piqa,PIQA,1838,0.6186071817192601,0.6109902067464635,-0.7616974972796564,0.6077257889009793,0.5919477693144722,-1.5778019586507042
56,5.243,sciq,SciQ,1000,0.707,0.731,2.400000000000002,0.62,0.65,3.0000000000000027
56,5.243,siqa,SIQA,1954,0.3607983623336745,0.38178096212896623,2.098259979529171,0.4007164790174002,0.4104401228249744,0.9723643807574178
56,5.243,winogrande,WinoGrande,1267,0.4996053670086819,0.5074980268350434,0.7892659826361503,0.5027624309392266,0.4972375690607735,-0.552486187845308
56,6.291,arc_challenge,ARC-C,1172,0.185154,0.203072,1.791799999999999,0.244881,0.25256,0.7679000000000019
56,6.291,arc_easy,ARC-E,2376,0.4797979797979798,0.5248316498316499,4.503367003367009,0.4234006734006734,0.4692760942760943,4.58754208754209
56,6.291,csqa,CSQA,1221,0.24242424242424243,0.2784602784602785,3.603603603603606,0.27927927927927926,0.294021294021294,1.4742014742014753
56,6.291,hellaswag,HellaSwag,10042,0.27743477394941246,0.27823142800239,0.0796654052977519,0.29486158135829516,0.29944234216291576,0.45807608046206094
56,6.291,mmlu,MMLU,14042,0.23009542800170915,0.23023785785500642,0.014242985329726565,0.23009542800170915,0.23023785785500642,0.014242985329726565
56,6.291,openbookqa,OpenBookQA,500,0.154,0.174,1.9999999999999991,0.286,0.302,1.6000000000000014
56,6.291,piqa,PIQA,1838,0.6175190424374319,0.6142546245919478,-0.32644178454841466,0.6099020674646355,0.6066376496191512,-0.32644178454842576
56,6.291,sciq,SciQ,1000,0.726,0.745,1.9000000000000017,0.633,0.665,3.200000000000003
56,6.291,siqa,SIQA,1954,0.3618219037871034,0.36489252814739,0.30706243602866,0.4109518935516888,0.41146366427840325,0.051177072671443335
56,6.291,winogrande,WinoGrande,1267,0.505130228887135,0.5122336227308603,0.710339384372527,0.5059194948697711,0.5027624309392266,-0.31570639305444903
56,7.34,arc_challenge,ARC-C,1172,0.188567,0.214164,2.559699999999998,0.243174,0.253413,1.0238999999999998
56,7.34,arc_easy,ARC-E,2376,0.48695286195286197,0.5244107744107744,3.7457912457912466,0.41835016835016836,0.4654882154882155,4.7138047138047146
56,7.34,csqa,CSQA,1221,0.26044226044226043,0.27927927927927926,1.8837018837018826,0.27682227682227684,0.2841932841932842,0.7371007371007376
56,7.34,hellaswag,HellaSwag,10042,0.2800238996215893,0.27992431786496713,-0.009958175662216906,0.2909778928500299,0.30322644891455885,1.224855606452896
