scope,tokens_b,slope_pp_per_ln_parameters,intercept_pp,r2
final_macro10_raw,19.999,0.01001036414973553,0.7804308173164196,0.0015198360470751737
final_task_arc_challenge_raw,19.999,0.6620448499864776,-0.3343941291460996,0.3541809234757949
final_task_arc_easy_raw,19.999,1.0074153089873656,-1.9346378479827167,0.3362982194930255
final_task_csqa_raw,19.999,1.0468035744355604,-4.2948972344246705,0.4256077375114885
final_task_hellaswag_raw,19.999,-0.25206942139158045,0.7937731704572717,0.5083569001815874
final_task_mmlu_raw,19.999,0.01911163305323929,-0.26425053914613644,0.0006114685185014679
final_task_openbookqa_raw,19.999,-0.9774819746842767,4.556465905618253,0.4713554176148732
final_task_piqa_raw,19.999,-0.42599434721303137,2.0623552306431345,0.8190120430737642
final_task_sciq_raw,19.999,-0.42188880855103394,3.3118922675739766,0.5317175450229341
final_task_siqa_raw,19.999,-0.3928962362839334,3.3198542419846455,0.4740901478632298
final_task_winogrande_raw,19.999,-0.16494093684143007,0.5881471075865308,0.16774114146833963
checkpoint_macro10_raw,1.049,-0.2161718021788651,1.6495081830644873,0.35675882496544187
checkpoint_macro10_raw,2.097,-0.05704539158236179,0.8284949531634709,0.03775986738933057
checkpoint_macro10_raw,3.146,0.09417430412819372,0.4067626846548818,0.02101387332635629
checkpoint_macro10_raw,4.194,0.06023202948233624,0.4944825513248582,0.023295557149196622
checkpoint_macro10_raw,5.243,-0.024252636438138464,1.1954198532758002,0.0022109768303545385
checkpoint_macro10_raw,7.34,-0.027485872639908027,1.3418892617074307,0.007212302455704256
checkpoint_macro10_raw,8.389,-0.13918571889148387,2.081175934853275,0.18890804211374523
checkpoint_macro10_raw,9.437,-0.03252396917027941,0.9056145742403855,0.011665490360320052
checkpoint_macro10_raw,10.486,-0.4395609955597333,3.6464565022721738,0.9375625954693584
checkpoint_macro10_raw,11.534,-0.30705325797066846,2.565971977360542,0.467510723482614
checkpoint_macro10_raw,12.583,-0.03151807544589939,0.991008426307676,0.0049161017199076396
checkpoint_macro10_raw,13.631,-0.4157211313995662,2.723782085803212,0.9641701235738286
checkpoint_macro10_raw,14.68,0.034702964252482295,0.5501071777970143,0.03279875474763083
checkpoint_macro10_raw,15.729,-0.026834804208611965,0.9443596548188719,0.004677497015058152
checkpoint_macro10_raw,16.777,-0.009549257844441513,1.0353703558652823,0.004340628957706816
checkpoint_macro10_raw,17.826,-0.030018643190133743,0.9719767029073045,0.00938753549506266
checkpoint_macro10_raw,18.874,0.132464797268817,-0.038135970698664756,0.31775110311801746
checkpoint_macro10_raw,19.923,-0.04559874148102656,1.1066209757099836,0.04844059807966883
checkpoint_macro10_raw,19.999,0.01001036414973553,0.7804308173164196,0.0015198360470751737
