parameters_m,tokens_b,base_macro10_acc,hq_macro10_acc,gap_macro10_acc_pp,base_macro10_acc_norm,hq_macro10_acc_norm,gap_macro10_acc_norm_pp,base_original_macro4_acc,hq_original_macro4_acc,gap_original_macro4_acc_pp,hq_task_wins_raw,hq_task_ties_raw
56,19.999,0.3899544171207593,0.4005469407354164,1.0592523614657083,0.404369988205907,0.41206946062524674,0.7699472419339655,0.40762937677908834,0.41897442532971596,1.134504855062767,9,0
143,19.999,0.42342877027388093,0.4273563565225942,0.3927586248713225,0.43277636825349164,0.4402948484130393,0.7518480159547625,0.4490253968368379,0.46481914008353376,1.57937432466959,4,0
263,19.999,0.439591030875114,0.4481258541031924,0.8534823228078278,0.45071429813048913,0.45974138849308466,0.9027090362595471,0.4769226823445537,0.48717005888777043,1.0247376543216682,6,0
469,19.999,0.45513816811653596,0.4654211124791292,1.0282944362593358,0.46596862649680243,0.4782659818519718,1.2297355355169333,0.49263855537764134,0.5137859723775754,2.114741699993407,6,0
803,19.999,0.46599533836643675,0.47442177226706306,0.842643390062619,0.47913296194447375,0.48923267325766595,1.0099711313192157,0.5126746866167171,0.529388743792876,1.6714057176158952,5,0
