parameters_m,tokens_b,base_macro10_acc,hq_macro10_acc,gap_macro10_acc_pp,base_macro10_acc_norm,hq_macro10_acc_norm,gap_macro10_acc_norm_pp,base_original_macro4_acc,hq_original_macro4_acc,gap_original_macro4_acc_pp,hq_task_wins_raw,hq_task_ties_raw
56,1.049,0.34917714337747324,0.35832227732701655,0.9145133949543279,0.3642188098511564,0.37039580910461234,0.6176999253455945,0.35945709343322485,0.37279530684089857,1.3338213407673778,6,0
56,2.097,0.37113181043115295,0.37851821288942566,0.7386402458272643,0.38094783212438815,0.38398733577842953,0.3039503654041309,0.37671962855007257,0.3868005684530781,1.0080939903005501,7,0
56,3.146,0.3723966085181484,0.3841742266895197,1.177761817137139,0.38797896750104427,0.3893930750882721,0.14141075872277914,0.378902375568098,0.39344472863384394,1.454235306574593,7,0
56,4.194,0.378824192268469,0.3863714917218426,0.7547299453373633,0.38785127471278136,0.3940066326334385,0.6155357920657056,0.38526612929703385,0.4025160427906688,1.7249913493634903,6,0
56,5.243,0.3769830233550867,0.39161648674045907,1.4633463385372343,0.3902763661887833,0.40042241032849085,1.0146044139707475,0.3917689638311154,0.4063370474991528,1.4568083668037315,7,0
56,6.291,0.37793775992850137,0.3925213989619523,1.4583639033450866,0.39182914179260525,0.4033401333152091,1.1510991522603926,0.38997644904620604,0.4050974256064969,1.5120976560290862,9,0
56,7.34,0.3814859884593069,0.394027347132898,1.2541358673591099,0.39123884545008497,0.4027610746741167,1.1522229224031735,0.39054535279840064,0.40465197655098106,1.4106623752580472,8,0
56,8.389,0.38295181787190474,0.3988378344787507,1.5886016606845932,0.3928007745143379,0.40778351077214714,1.4982736257809197,0.39571422118597477,0.40904406731789283,1.3329846131918037,7,1
56,9.437,0.3814670790843427,0.3884282438045119,0.6961164720169288,0.3933380962130506,0.3997690979856823,0.6431001772631628,0.39852087097724,0.40193455512874277,0.34136841515027894,6,0
56,10.486,0.3821951633309547,0.4002697594715934,1.8074596140638615,0.3924441200379497,0.4099662193374821,1.7522099299532372,0.3963607866646499,0.41001728221947864,1.3656495554828758,8,0
56,11.534,0.38453508732128133,0.39834031745716414,1.3805230135882836,0.39312917930866287,0.4079545948810491,1.4825415572386262,0.3987652451795272,0.4087242143890596,0.9958969209532342,7,1
56,12.583,0.3851931500231794,0.39299469480152593,0.780154477834655,0.39447556565408304,0.4058246119483709,1.1349046294287837,0.3981899145420198,0.40642744888848725,0.8237534346467436,7,0
56,13.631,0.38508855606091297,0.39607045322556556,1.0981897164652523,0.397122238557477,0.407593344294005,1.0471105736527904,0.39873186209922074,0.4094830194843855,1.0751157385164682,8,0
56,14.68,0.38880799963360335,0.39428846925525984,0.5480469621656562,0.3963616669956063,0.4091520417886934,1.279037479308709,0.40228489871581957,0.41068586405889995,0.8400965343080381,8,0
56,15.729,0.38799510526471437,0.3950667523285152,0.7071647063800729,0.39977215834312363,0.4097596069044088,0.9987448561285138,0.400047231574289,0.40920134157213484,0.915410999784587,10,0
56,16.777,0.3868657132069515,0.39787905010787583,1.1013336900924346,0.39609320112705704,0.4083079152678013,1.221471414074426,0.4034458879278321,0.4124723203598305,0.9026432431998417,8,0
56,17.826,0.38713041944368765,0.39890588988013514,1.1775470436447555,0.39972691310665237,0.4089392190908502,0.921230598419778,0.40075339524874953,0.4112171390463536,1.0463743797604028,8,0
56,18.874,0.3930328343822772,0.3971999507804635,0.4167116398186327,0.40586279231337824,0.41142049727056673,0.5557704957188434,0.4071605883350392,0.41305126133779824,0.5890673002759028,7,0
56,19.923,0.3895060737987347,0.40057295777071855,1.1066883971983883,0.403987554268319,0.4136157748697964,0.9628220601477377,0.406806380780111,0.4189225445663373,1.211616378622634,9,0
56,19.999,0.3899544171207593,0.4005469407354164,1.0592523614657083,0.404369988205907,0.41206946062524674,0.7699472419339655,0.40762937677908834,0.41897442532971596,1.134504855062767,9,0
143,1.049,0.35975267416742424,0.366703727175197,0.6951053007772806,0.3755438435647113,0.37790726814983255,0.2363424585121277,0.3739210164778466,0.3833444990140668,0.9423482536220176,6,0
143,2.097,0.3847114988702637,0.3870366857579986,0.23251868877348728,0.39164065642674983,0.39715862650929046,0.5517970082540596,0.3967271963860707,0.40363879735607844,0.6911600970007695,5,0
143,3.146,0.3913775568815775,0.39674498850733275,0.5367431625755315,0.4040343399292771,0.4129997778400704,0.8965437910793309,0.4063395555547392,0.41652248022724003,1.0182924672500793,6,0
143,4.194,0.39984678494716686,0.40334924873215827,0.35024637849913604,0.4076225691622358,0.4179129271331177,1.0290357970881832,0.41702638593564767,0.42693242999281933,0.990604405717163,5,0
143,5.243,0.40379418289664404,0.4066487009146658,0.28545180180217766,0.41104786870598564,0.41870583480604795,0.7657966100062328,0.4256911400642466,0.4369361781323222,1.1245038068075575,4,0
143,6.291,0.4016214049787078,0.40912527579831603,0.7503870819608224,0.4088385522701806,0.4248236479153057,1.5985095645125147,0.4262465429398742,0.4360821421883685,0.9835599248494317,7,0
143,7.34,0.4053101990593385,0.41514572183365495,0.9835522774316537,0.41515731654653526,0.42827897067577075,1.312165412923551,0.4300528558722405,0.44163667483055913,1.1583818958318615,9,0
143,8.389,0.4069162921614268,0.41915919398877327,1.2242901827346537,0.41959459240706665,0.42981000882586995,1.0215416418803331,0.4321356122686081,0.4473084753637019,1.5172863095093803,6,0
