condition,n_seeds,en_test_bpb_mean,en_test_bpb_sample_std,zh_test_bpb_mean,zh_test_bpb_sample_std,mean_test_bpb_mean,mean_test_bpb_sample_std,en_forgetting_bpb_mean,en_forgetting_bpb_sample_std,zh_forgetting_bpb_mean,zh_forgetting_bpb_sample_std,median_tokens_per_second_mean,median_tokens_per_second_sample_std,peak_memory_gib_mean,peak_memory_gib_sample_std
en_only,2,1.3158209841489077,0.00944222990415229,3.1459997881153017,0.00451470648968952,2.2309103861321047,0.006978468196921062,0.0,0.0,0.0031417270463092173,0.00444307299816486,38678.7812447966,3.4188252490936395,4.834222316741943,0.0010358009490037316
zh_only,2,2.1370622728207613,0.011883277499179331,1.6412952876046711,0.0048153685362591,1.8891787802127162,0.008349323017719137,0.0,0.0,0.0,0.0,37661.70422360086,1516.8995810937063,4.834954738616943,0.0
iid_50,2,1.419144108098204,0.003757386125743379,1.7884802220537206,0.004277048331757865,1.6038121650759622,0.004017217228750544,0.0,0.0,0.0,0.0,38759.2798302498,39.09772896737942,4.834954738616943,0.0
en_first,2,1.730260889646361,0.018771179947854665,1.842955500111358,0.0013229009956368673,1.7866081948788595,0.010047040471745846,0.3040152622075032,0.01375452098988376,0.0,0.0,38696.33592373336,28.499888956336633,4.834954738616943,0.0
zh_first,2,1.4189220697556466,0.002327543355027791,2.659222333300316,0.0073393043677500245,2.0390722015279814,0.00250588050636096,0.0,0.0,0.8784607073413184,0.017213956604088827,38250.46260945181,353.0740158193051,4.834954738616943,0.0
alternating,2,1.4954221969354213,0.00206345541226441,1.8896063333853594,0.001212592703415808,1.6925142651603904,0.001638024057840109,0.012264435470402124,0.0009194614152261462,0.0,0.0,38684.18277602378,15.925053722499028,4.834222316741943,0.0010358009490037316
