condition,n_seeds,en_test_bpb_mean,en_test_bpb_sample_std,zh_test_bpb_mean,zh_test_bpb_sample_std,mean_test_bpb_mean,mean_test_bpb_sample_std,en_forgetting_bpb_mean,en_forgetting_bpb_sample_std,zh_forgetting_bpb_mean,zh_forgetting_bpb_sample_std,median_tokens_per_second_mean,median_tokens_per_second_sample_std,peak_memory_gib_mean,peak_memory_gib_sample_std
en_only,2,1.106747459792592,0.004543243048383026,2.9757317217521533,0.012093722178920557,2.0412395907723724,0.003775239565269001,0.0,0.0,0.000965789723189836,0.0013658329249356233,39403.60555571823,60.30856426763863,31.70631170272827,0.0
zh_only,2,1.9844316759671616,0.003659347956630617,1.3751493246214497,0.0011966585635744282,1.6797905002943057,0.0024280032601025226,0.0,0.0,0.0,0.0,39436.77588949332,40.27345527923405,31.70631170272827,0.0
iid_50,2,1.1973207577464167,0.008435882960702669,1.4832198982937994,0.00961774046297787,1.3402703280201083,0.009026811711840192,0.0,0.0,0.0,0.0,56081.97793082116,366.4934335873441,31.70631170272827,0.0
en_first,2,1.6549445707593615,0.003076376803750247,1.5016874980054993,0.006941846826360018,1.5783160343824303,0.005009111815055054,0.4568332848542902,0.0014867492803528801,0.0,0.0,56173.45016340517,388.11618571899163,31.70631170272827,0.0
zh_first,2,1.1828817520099575,0.0006526221278475866,2.58112691568277,0.013750766324510395,1.8820043338463637,0.007201694226178912,0.0,0.0,1.0911992339514014,0.01807172668160909,39363.36616523824,56.84182274947934,31.70631170272827,0.0
alternating,2,1.2502201010089582,0.001688377213599296,1.5546385994599985,0.0005048485821191128,1.4024293502344785,0.0010966128978591259,0.038050601721456134,0.0014874458560184753,0.03746987073981234,0.0005756964917643573,39436.80159445187,60.410222294310195,31.70631170272827,0.0
