scale,parameters,condition,mean_penalty_vs_iid_pct,en_penalty_vs_iid_pct,zh_penalty_vs_iid_pct,balanced_relative_penalty_pct
43M,43461504,alternating,4.560894536697058,4.627196130384803,4.508244880119339,4.567720505252071
43M,43461504,en_first,10.907191367679303,21.592711039362644,2.4218909431023894,12.007300991232517
43M,43461504,zh_first,26.548671089202625,0.7707111479313467,47.01877840780509,23.894744777868215
143M,143071296,alternating,4.6377973842182785,4.418143001388186,4.815112125205068,4.6166275632966265
143M,143071296,en_first,17.761021891305397,38.220653074977065,1.2451019388928009,19.732877506934933
143M,143071296,zh_first,40.41975670882179,-1.2059429892150475,74.02186409796228,36.407960554373616
